id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
flight_1_13,flight_1,Show the id and name of the aircraft with the maximum distance.,"SELECT aid ,  name FROM Aircraft ORDER BY distance DESC LIMIT 1","SELECT aid, name FROM Aircraft ORDER BY distance DESC LIMIT 1;","SELECT aid, name FROM Aircraft ORDER BY distance DESC LIMIT 1",1,1,1,1882.01,
flight_1_14,flight_1,What is the id and name of the aircraft that can cover the maximum distance?,"SELECT aid ,  name FROM Aircraft ORDER BY distance DESC LIMIT 1","SELECT aid, name FROM Aircraft ORDER BY distance DESC LIMIT 1;","SELECT aid, name FROM Aircraft ORDER BY distance DESC LIMIT 1",1,1,1,2450.52,
flight_1_15,flight_1,Show the name of aircrafts with top three lowest distances.,SELECT name FROM Aircraft ORDER BY distance LIMIT 3,SELECT name FROM Aircraft ORDER BY distance LIMIT 3;,SELECT name FROM Aircraft ORDER BY distance LIMIT 3,1,1,1,1545.89,
flight_1_16,flight_1,What are the aircrafts with top 3 shortest lengthes? List their names.,SELECT name FROM Aircraft ORDER BY distance LIMIT 3,SELECT name FROM Aircraft ORDER BY distance LIMIT 3;,SELECT name FROM Aircraft ORDER BY distance LIMIT 3,1,1,1,1576.76,
flight_1_17,flight_1,Show names for all aircrafts with distances more than the average.,SELECT name FROM Aircraft WHERE distance  >  (SELECT avg(distance) FROM Aircraft),SELECT name FROM Aircraft WHERE distance > (SELECT avg(distance) FROM Aircraft);,SELECT name FROM Aircraft WHERE distance > (SELECT AVG(distance) FROM Aircraft),1,1,1,2533.17,
flight_1_18,flight_1,What are the names of all aircrafts that can cover more distances than average?,SELECT name FROM Aircraft WHERE distance  >  (SELECT avg(distance) FROM Aircraft),SELECT name FROM Aircraft WHERE distance > (SELECT avg(distance) FROM Aircraft);,SELECT name FROM Aircraft WHERE distance > (SELECT AVG(distance) FROM Aircraft),1,1,1,2463.08,
flight_1_19,flight_1,How many employees do we have?,SELECT count(*) FROM Employee,SELECT count(*) FROM Employee;,SELECT COUNT(*) FROM Employee,1,1,1,1357.68,
flight_1_20,flight_1,What is the number of employees?,SELECT count(*) FROM Employee,SELECT count(*) FROM Employee;,SELECT COUNT(*) FROM Employee,1,1,1,1380.67,
flight_1_21,flight_1,Show name and salary for all employees sorted by salary.,"SELECT name ,  salary FROM Employee ORDER BY salary","SELECT name, salary FROM Employee ORDER BY salary;","SELECT name, salary FROM Employee ORDER BY salary",1,1,1,1484.49,
flight_1_22,flight_1,What is the name and salary of all employees in order of salary?,"SELECT name ,  salary FROM Employee ORDER BY salary","SELECT name, salary FROM Employee ORDER BY salary;","SELECT name, salary FROM Employee ORDER BY salary",1,1,1,1469.14,
flight_1_23,flight_1,Show ids for all employees with at least 100000 salary.,SELECT eid FROM Employee WHERE salary  >  100000,SELECT eid FROM Employee WHERE salary > 100000;,SELECT eid FROM Employee WHERE salary > 100000,1,1,1,3043.9,
flight_1_24,flight_1,What is the id of every employee who has at least a salary of  100000?,SELECT eid FROM Employee WHERE salary  >  100000,SELECT eid FROM Employee WHERE salary > 100000;,SELECT eid FROM Employee WHERE salary > 100000,1,1,1,3051.82,
flight_1_25,flight_1,How many employees have salary between 100000 and 200000?,SELECT count(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000,SELECT count(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000;,SELECT COUNT(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000,1,1,1,2439.46,
flight_1_26,flight_1,What is the number of employees that have a salary between 100000 and 200000?,SELECT count(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000,SELECT count(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000;,SELECT COUNT(*) FROM Employee WHERE salary BETWEEN 100000 AND 200000,1,1,1,2464.94,
flight_1_27,flight_1,What is the name and salary for employee with id 242518965?,"SELECT name ,  salary FROM Employee WHERE eid  =  242518965","SELECT name, salary FROM Employee WHERE eid = 242518965;","SELECT name, salary FROM Employee WHERE eid = 242518965",1,1,1,3941.51,
flight_1_28,flight_1,What is the name and salary of the employee with the id 242518965?,"SELECT name ,  salary FROM Employee WHERE eid  =  242518965","SELECT name, salary FROM Employee WHERE eid = 242518965;","SELECT name, salary FROM Employee WHERE eid = 242518965",1,1,1,3945.49,
flight_1_29,flight_1,What is average and maximum salary of all employees.,"SELECT avg(salary) ,  max(salary) FROM Employee","SELECT avg(salary), max(salary) FROM Employee;","SELECT AVG(salary), MAX(salary) FROM Employee",1,1,1,1949.16,
flight_1_30,flight_1,What is the average and largest salary of all employees?,"SELECT avg(salary) ,  max(salary) FROM Employee","SELECT avg(salary), max(salary) FROM Employee;","SELECT AVG(salary), MAX(salary) FROM Employee",1,1,1,2175.91,
flight_1_31,flight_1,Show the id and name of the employee with maximum salary.,"SELECT eid ,  name FROM Employee ORDER BY salary DESC LIMIT 1","SELECT eid, name FROM Employee ORDER BY salary DESC LIMIT 1;","SELECT eid, name FROM Employee ORDER BY salary DESC LIMIT 1",1,1,1,5056.99,
flight_1_32,flight_1,What is the id and name of the employee with the highest salary?,"SELECT eid ,  name FROM Employee ORDER BY salary DESC LIMIT 1","SELECT eid, name FROM Employee ORDER BY salary DESC LIMIT 1;","SELECT eid, name FROM Employee ORDER BY salary DESC LIMIT 1",1,1,1,5134.65,
flight_1_33,flight_1,Show the name of employees with three lowest salaries.,SELECT name FROM Employee ORDER BY salary ASC LIMIT 3,SELECT name FROM Employee ORDER BY salary ASC LIMIT 3;,SELECT name FROM Employee ORDER BY salary ASC LIMIT 3,1,1,1,1439.87,
flight_1_34,flight_1,What is the name of the 3 employees who get paid the least?,SELECT name FROM Employee ORDER BY salary ASC LIMIT 3,SELECT name FROM Employee ORDER BY salary ASC LIMIT 3;,SELECT name FROM Employee ORDER BY salary ASC LIMIT 3,1,1,1,1474.41,
flight_1_35,flight_1,Show names for all employees with salary more than the average.,SELECT name FROM Employee WHERE salary  >  (SELECT avg(salary) FROM Employee),SELECT name FROM Employee WHERE salary > (SELECT avg(salary) FROM Employee);,SELECT name FROM Employee WHERE salary > (SELECT AVG(salary) FROM Employee),1,1,1,2212.38,
flight_1_36,flight_1,What are the names of all employees who have a salary higher than average?,SELECT name FROM Employee WHERE salary  >  (SELECT avg(salary) FROM Employee),SELECT name FROM Employee WHERE salary > (SELECT avg(salary) FROM Employee);,SELECT name FROM Employee WHERE salary > (SELECT AVG(salary) FROM Employee),1,1,1,2271.33,
flight_1_37,flight_1,Show the id and salary of Mark Young.,"SELECT eid ,  salary FROM Employee WHERE name  =  'Mark Young'","SELECT eid, salary FROM Employee WHERE name = 'Mark Young';","SELECT eid, salary FROM Employee WHERE name = 'Mark Young'",1,1,1,5036.08,
flight_1_38,flight_1,What is the id and salary of the employee named Mark Young?,"SELECT eid ,  salary FROM Employee WHERE name  =  'Mark Young'","SELECT eid, salary FROM Employee WHERE name = 'Mark Young';","SELECT eid, salary FROM Employee WHERE name = 'Mark Young'",1,1,1,1964.6,
flight_1_39,flight_1,How many flights do we have?,SELECT count(*) FROM Flight,SELECT count(*) FROM Flight;,SELECT COUNT(*) FROM Flight,1,1,1,2812.42,
flight_1_40,flight_1,What is the number of flights?,SELECT count(*) FROM Flight,SELECT count(*) FROM Flight;,SELECT COUNT(*) FROM Flight,1,1,1,1351.21,
flight_1_41,flight_1,"Show flight number, origin, destination of all flights in the alphabetical order of the departure cities.","SELECT flno ,  origin ,  destination FROM Flight ORDER BY origin",SELECT flno FROM Flight ORDER BY origin;,SELECT flno FROM Flight ORDER BY origin,0,0,1,1838.39,
flight_1_42,flight_1,"What is the flight number, origin, and destination for all flights in alphabetical order by departure cities?","SELECT flno ,  origin ,  destination FROM Flight ORDER BY origin","SELECT flno, origin, destination FROM Flight ORDER BY origin;","SELECT flno, origin, destination FROM Flight ORDER BY origin",1,1,1,1802.91,
flight_1_43,flight_1,Show all flight number from Los Angeles.,"SELECT flno FROM Flight WHERE origin  =  ""Los Angeles""","SELECT flno FROM Flight WHERE origin = ""Los Angeles"";","SELECT flno FROM Flight WHERE origin = ""Los Angeles""",1,1,1,2122.31,
flight_1_44,flight_1,What are the numbers of all flights coming from Los Angeles?,"SELECT flno FROM Flight WHERE origin  =  ""Los Angeles""","SELECT flno FROM Flight WHERE origin = ""Los Angeles"";","SELECT flno FROM Flight WHERE origin = ""Los Angeles""",1,1,1,1746.49,
flight_1_45,flight_1,Show origins of all flights with destination Honolulu.,"SELECT origin FROM Flight WHERE destination  =  ""Honolulu""","SELECT origin FROM Flight WHERE destination = ""Honolulu"";","SELECT origin FROM Flight WHERE destination = ""Honolulu""",1,1,1,1600.89,
flight_1_46,flight_1,What are the origins of all flights that are headed to Honolulu?,"SELECT origin FROM Flight WHERE destination  =  ""Honolulu""","SELECT origin FROM Flight WHERE destination = ""Honolulu"";","SELECT origin FROM Flight WHERE destination = ""Honolulu""",1,1,1,1609.01,
flight_1_47,flight_1,Show me the departure date and arrival date for all flights from Los Angeles to Honolulu.,"SELECT departure_date ,  arrival_date FROM Flight WHERE origin  =  ""Los Angeles"" AND destination  =  ""Honolulu""","SELECT departure_date, arrival_date FROM Flight WHERE origin = ""Los Angeles"" AND destination = ""Honolulu"";","SELECT departure_date, arrival_date FROM Flight WHERE origin = ""Los Angeles"" AND destination = ""Honolulu""",1,1,1,4994.15,
flight_1_48,flight_1,What are the departure and arrival dates of all flights from LA to Honolulu?,"SELECT departure_date ,  arrival_date FROM Flight WHERE origin  =  ""Los Angeles"" AND destination  =  ""Honolulu""","SELECT departure_date, arrival_date FROM Flight WHERE origin = ""LA"" AND destination = ""Honolulu"";","SELECT departure_date, arrival_date FROM Flight WHERE origin = ""LA"" AND destination = ""Honolulu""",0,0,1,2656.1,
flight_1_49,flight_1,Show flight number for all flights with more than 2000 distance.,SELECT flno FROM Flight WHERE distance  >  2000,SELECT flno FROM Flight WHERE distance > 2000;,SELECT flno FROM Flight WHERE distance > 2000,1,1,1,2993.34,
flight_1_50,flight_1,What are the numbers of all flights that can cover a distance of more than 2000?,SELECT flno FROM Flight WHERE distance  >  2000,SELECT flno FROM Flight WHERE distance > 2000;,SELECT flno FROM Flight WHERE distance > 2000,1,1,1,2691.12,
